Date;Code;PVP;Description1;Description2;Type;
2020/04/12;"00003652";"1.49€";"CLAVIJA AºGº 170X30 M8X45 P/RJ PAS P/CNL SELF 200";"ACCESORIO CLAVIJA - SELF";"CANALES DE DRENAJE";
2020/04/12;"00006308";"1.93€";"CLAVIJA AºGº 112X30 M8X55 P/RJ ENT P/CNL SELF GALA100";"ACCESORIO CLAVIJA - SELF 00002969";"CANALES DE DRENAJE";
2020/04/12;"00006309";"1.98€";"CLAVIJA AºGº 112X30 M8X70 P/RJ PAS P/CNL SELF GALA100";"ACCESORIO CLAVIJA - SELF";"CANALES DE DRENAJE";
2020/04/12;"00003651";"2.00€";"CLAVIJA AºGº 170X30 M8X45 P/RJ P/CNL SELF 200";"ACCESORIO CLAVIJA - SELF 00002969";"CANALES DE DRENAJE";
2020/04/12;"00004242";"2.64€";"CLAVIJA AºGº 260X30 M12X50 P/RJ P/CNL SELF 300";"ACCESORIO CLAVIJA - SELF";"CANALES DE DRENAJE";
2020/04/12;"00330049";"5.09€";"KIT ANTIRROBO SELF 100 P/RJ PAS AºGº";"SELF 100 - KIT ANTIROBO";"CANALES DE DRENAJE";
2020/04/12;"00001682";"7.70€";"CESTILLO PLASTICO P/SUM SELF 100";"ACCESORIOS - CESTILLO";"CANALES DE DRENAJE";
2020/04/12;"00038516";"8.18€";"REJA SELF 100 L1000 A15 AºGº PASARELA C/FIJ PESTAÑA";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00304470";"13.48€";"TAPA DN/OD 80 PP H150 SELF 100";"ACCESORIOS - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00038512";"15.40€";"REJA SELF 100 L500 B125 FUNDICION PASARELA C/FIJ PESTAÑA";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00332055";"15.54€";"CANAL SELF 100 1000MM H55 B125";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00150010";"15.78€";"REJA SPORT/SELF N150/SELF200 L1000 A15 AºGº PASARELA C/FIJ CLAVIJA Ó SPRINGLOCK®";"ACO DRAIN REJA - SPORT/SELF N150/SELF200";"CANALES DE DRENAJE";
2020/04/12;"00302811";"16.11€";"CANAL SELF 100 1000MM H95 B125";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00003580";"16.17€";"REJA SPORT/SELF N150/SELF200 L1000 A15 AºGº PASARELA C/FIJ CLAVIJA ATORNILLADA";"ACO DRAIN REJA - SPORT/SELF N150/SELF200";"CANALES DE DRENAJE";
2020/04/12;"00330050";"19.44€";"KIT ANTIRROBO SELF 100 P/RJ PAS FUNDICION";"SELF 100 - KIT ANTIROBO";"CANALES DE DRENAJE";
2020/04/12;"00400301";"22.24€";"REJA SELF 100 L500 C250 AºGº BRICKSLOT T H75";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00304435";"22.31€";"CANAL SELF 100 H55 CON REJA PASARELA CON MICROGRIP A15 PP";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00003611";"22.69€";"REJA SPORT/SELF N150/SELF200 L500 B125 FUNDICION PASARELA C/FIJ CLAVIJA ATORNILLADA";"ACO DRAIN REJA - SPORT/SELF N150/SELF200";"CANALES DE DRENAJE";
2020/04/12;"00303893";"22.88€";"CANAL SELF 100 H95 CON REJA PASARELA CON MICROGRIP A15 PP";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00330000";"23.71€";"CANAL SELF 100 H55 CON REJA PASARELA A15 AºGº";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00303420";"24.28€";"CANAL SELF 100 H95 CON REJA PASARELA A15 AºGº";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00332100";"28.79€";"CANAL SELF 100 1000MM H145 B125";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00332210";"28.96€";"REJA SPORT/SELF N150/SELF200 L500 C250 FUNDICION PASARELA C/FIJ CLAVIJA ATORNILLADA";"ACO DRAIN REJA - SPORT/SELF N150/SELF200";"CANALES DE DRENAJE";
2020/04/12;"00400300";"33.21€";"REJA SELF 100 L1000 C250 AºGº BRICKSLOT T H75";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00003598";"35.11€";"CANAL SELF 200 1000MM H80 C250";"ACO DRAIN - SELF 200";"CANALES DE DRENAJE";
2020/04/12;"00330040";"36.97€";"CANAL SELF 100 H145 CON REJA PASARELA A15 AºGº";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00150000";"37.09€";"CANAL SELF 200 1000MM H150 C250";"ACO DRAIN - SELF 200";"CANALES DE DRENAJE";
2020/04/12;"00400325";"39.54€";"REJA SELF 100 L1000 B125 AºGº BRICKSLOT T H40";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00150011";"41.42€";"REJA SPORT/SELF N150/SELF200 L1000 B125 AºGº ENTRAMADA 30X30 C/FIJ CLAVIJA Ó SPRINGLOCK®";"ACO DRAIN REJA - SPORT/SELF N150/SELF200";"CANALES DE DRENAJE";
2020/04/12;"00303016";"45.45€";"REJA SELF 100 L1000 B125 AºGº ENTRAMADA 27X13 C/FIJ PESTAÑA";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00330004";"46.33€";"CANAL SELF 100 H55 CON REJA PASARELA B125 FUNDICION";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00302838";"46.91€";"CANAL SELF 100 H95 CON REJA PASARELA B125 FUNDICION";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00150078";"47.07€";"REJA SPORT/SELF N150/SELF200 L1000 B125 AºGº ENTRAMADA 30X30";"ACO DRAIN REJA - SPORT/SELF N150/SELF200";"CANALES DE DRENAJE";
2020/04/12;"C0150020";"49.31€";"CANAL SELF 200 H80 CON REJA PASARELA A15 AºGº";"ACO DRAIN - SELF 200";"CANALES DE DRENAJE";
2020/04/12;"00B04235";"51.89€";"REJA SELF 300 L500 B125 FUNDICION PASARELA C/FIJ CLAVIJA ATORNILLADA";"ACO DRAIN REJA - SELF 300";"CANALES DE DRENAJE";
2020/04/12;"C0150001";"52.87€";"CANAL SELF 200 H150 CON REJA PASARELA A15 AºGº";"ACO DRAIN - SELF 200";"CANALES DE DRENAJE";
2020/04/12;"00303610";"57.93€";"REJA SPORT/SELF N150/SELF200 L1000 B125 AºGº ENTRAMADA 30X15 C/FIJ SPRINGLOCK";"ACO DRAIN REJA - SPORT/SELF N150/SELF200";"CANALES DE DRENAJE";
2020/04/12;"00304459";"57.99€";"SUM SELF 100 H300 DN/OD 110";"ACCESORIO SUMIDERO - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00330005";"60.99€";"CANAL SELF 100 H55 CON REJA ENTRAMADA B125 AºGº";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00330022";"61.56€";"CANAL SELF 100 H95 CON REJA ENTRAMADA B125 AºGº";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00004231";"62.46€";"CANAL SELF 300 1000MM H200 C250";"ACO DRAIN - SELF 300";"CANALES DE DRENAJE";
2020/04/12;"00004235";"63.68€";"REJA SELF 300 L500 C250 FUNDICION PASARELA C/FIJ CLAVIJA ATORNILLADA";"ACO DRAIN REJA - SELF 300";"CANALES DE DRENAJE";
2020/04/12;"00400329";"64.28€";"REJA REG SELF 100 L1000 B125 AºGº BRICKSLOT T H40";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00400706";"65.11€";"REJA SELF 100 L500 C250 AISI304 BRICKSLOT T H75";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00415832";"65.16€";"REJA SELF 100 L850 B125 AºGº BRICKSLOT L H65";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00415822";"65.17€";"REJA SELF 100 L1000 B125 AºGº BRICKSLOT L H40";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00400304";"65.51€";"REJA REG SELF 100 L500 C250 AºGº BRICKSLOT T H75";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00415824";"65.74€";"REJA SELF 100 L850 B125 AºGº BRICKSLOT L H40";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00330044";"66.34€";"CANAL SELF 100 H145 CON REJA PASARELA B125 FUNDICION";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"Z0330063";"71.29€";"REJA SELF 100 L1000 A15 AISI304 PERFORADA CUADRADA C/FIJ PESTAÑA";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00415825";"72.77€";"REJA REG SELF 100 L150 B125 AºGº BRICKSLOT L H40";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00415830";"73.09€";"REJA SELF 100 L1000 B125 AºGº BRICKSLOT L H65";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00304460";"73.46€";"SUM SELF 100 H300 DN/OD 110 C/RJ PAS MICG PP A15";"ACCESORIO SUMIDERO - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00304461";"73.46€";"SUM SELF 100 H300 DN/OD 110 C/RJ PAS AºGº A15";"ACCESORIO SUMIDERO - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00330045";"74.24€";"CANAL SELF 100 H145 CON REJA ENTRAMADA B125 AºGº";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00304092";"75.87€";"SUM SELF 200 H400 DN/OD 160 B125";"ACCESORIO SUMIDERO - SELF 200";"CANALES DE DRENAJE";
2020/04/12;"00150070";"76.43€";"REJA SELF 100 L1000 B125 AISI304 BRICKSLOT T H40";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"C0150024";"76.55€";"CANAL SELF 200 H80 CON REJA ENTRAMADA B125 AºGº";"ACO DRAIN - SELF 200";"CANALES DE DRENAJE";
2020/04/12;"00310307";"77.73€";"REJA SELF 100 L1000 A15 AISI304 PASARELA C/FIJ PESTAÑA";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"C0150005";"78.50€";"CANAL SELF 200 H150 CON REJA ENTRAMADA B125 AºGº";"ACO DRAIN - SELF 200";"CANALES DE DRENAJE";
2020/04/12;"00415829";"78.70€";"REJA REG SELF 100 L150 B125 AISI304 BRICKSLOT L H40";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"C0150022";"83.48€";"CANAL SELF 200 H80 CON REJA PASARELA B125 FUNDICION";"ACO DRAIN - SELF 200";"CANALES DE DRENAJE";
2020/04/12;"00304465";"85.06€";"SUM SELF 100 H300 DN/OD 110 C/RJ PAS FUNDICION B125";"ACCESORIO SUMIDERO - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"C0150003";"85.46€";"CANAL SELF 200 H150 CON REJA PASARELA B125 FUNDICION";"ACO DRAIN - SELF 200";"CANALES DE DRENAJE";
2020/04/12;"00415833";"86.07€";"REJA REG SELF 100 L150 B125 AºGº BRICKSLOT L H65";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00330006";"86.81€";"CANAL SELF 100 H55 CON REJA PERFORADA CUADRADA A15 AISI304";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00330024";"87.39€";"CANAL SELF 100 H95 CON REJA PERFORADA CUADRADA A15 AISI304";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"C0150025";"93.12€";"CANAL SELF 200 H80 CON REJA ENTRAMADA B125 AºGº";"ACO DRAIN - SELF 200";"CANALES DE DRENAJE";
2020/04/12;"00400705";"93.26€";"REJA SELF 100 L1000 C250 AISI304 BRICKSLOT T H75";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00304437";"93.27€";"CANAL SELF 100 H55 CON REJA PASARELA A15 AISI304";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00304445";"93.84€";"CANAL SELF 100 H95 CON REJA PASARELA A15 AISI304";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"C0150006";"95.02€";"CANAL SELF 200 H150 CON REJA ENTRAMADA B125 AºGº";"ACO DRAIN - SELF 200";"CANALES DE DRENAJE";
2020/04/12;"C0150023";"96.03€";"CANAL SELF 200 H80 CON REJA PASARELA C250 FUNDICION";"ACO DRAIN - SELF 200";"CANALES DE DRENAJE";
2020/04/12;"00415837";"97.71€";"REJA REG SELF 100 L150 B125 AISI304 BRICKSLOT L H65";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"C0150004";"98.00€";"CANAL SELF 200 H150 CON REJA PASARELA C250 FUNDICION";"ACO DRAIN - SELF 200";"CANALES DE DRENAJE";
2020/04/12;"00330039";"100.08€";"CANAL SELF 100 H145 CON REJA PERFORADA CUADRADA A15 AISI304";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00415826";"102.40€";"REJA SELF 100 L1000 B125 AISI304 BRICKSLOT L H40";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00415828";"102.91€";"REJA SELF 100 L850 B125 AISI304 BRICKSLOT L H40";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00150072";"103.16€";"REJA REG SELF 100 L1000 B125 AISI304 BRICKSLOT T H40";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00304464";"104.07€";"SUM SELF 100 H300 DN/OD 110 C/RJ ENT AºGº A15";"ACCESORIO SUMIDERO - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00330041";"106.52€";"CANAL SELF 100 H145 CON REJA PASARELA A15 AISI304";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00400709";"109.83€";"REJA REG SELF 100 L500 C250 AISI304 BRICKSLOT T H73";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00304130";"110.28€";"SUM SELF 200 H405 DN/OD 160 C/RJ PAS AºGº A15";"ACCESORIO SUMIDERO - SELF 200";"CANALES DE DRENAJE";
2020/04/12;"00415836";"113.23€";"REJA SELF 100 L850 B125 AISI304 BRICKSLOT L H65";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00304462";"116.80€";"SUM SELF 100 H300 DN/OD 110 C/RJ PAS AISI304 A15";"ACCESORIO SUMIDERO - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00415834";"125.68€";"REJA SELF 100 L1000 B125 AISI304 BRICKSLOT L H65";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00010323";"134.44€";"REJA SELF 100 L1000 A15 AISI304 ANTI-TACÓN C/FIJ PESTAÑA";"ACO DRAIN REJA - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00304093";"141.27€";"SUM SELF 200 H405 DN/OD 160 C/RJ ENT AºGº B125";"ACCESORIO SUMIDERO - SELF 200";"CANALES DE DRENAJE";
2020/04/12;"00330003";"152.13€";"CANAL SELF 100 H55 CON REJA ANTI-TACÓN A15 AISI304";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00038710";"152.71€";"CANAL SELF 100 H95 CON REJA ANTI-TACÓN A15 AISI304";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00330043";"165.39€";"CANAL SELF 100 H145 CON REJA ANTI-TACÓN A15 AISI304";"ACO DRAIN - SELF 100";"CANALES DE DRENAJE";
2020/04/12;"00007111";"8.96€";"TAPA HP H146 SELF SLIMLINE";"ACCESORIOS - SELF SLIMLINE";"CANALES DE DRENAJE";
2020/04/12;"00007187";"33.13€";"CANAL SELF SLIMLINE 500MM H146 B125";"ACO DRAIN - SELF SLIMLINE";"CANALES DE DRENAJE";
2020/04/12;"00007110";"38.78€";"CANAL SELF SLIMLINE 1000MM H146 B125";"ACO DRAIN - SELF SLIMLINE";"CANALES DE DRENAJE";
2020/04/12;"00007192";"60.43€";"CANAL REGISTRO SELF SLIMLINE 500MM H146 B125";"ACO DRAIN - SELF SLIMLINE";"CANALES DE DRENAJE";
2020/04/12;"00007194";"98.03€";"CANAL REGISTRO SELF SLIMLINE 500MM H146 B125";"ACO DRAIN - SELF SLIMLINE";"CANALES DE DRENAJE";
2020/04/12;"00006304";"10.38€";"REJA SELF GALA100 L500 A15 AºGº PASARELA C/FIJ CLAVIJA ATORNILLADA";"ACO DRAIN REJA - SELF GALA100";"CANALES DE DRENAJE";
2020/04/12;"00001640";"14.34€";"REJA SELF GALA100 L1000 A15 AºGº PASARELA C/FIJ CLAVIJA ATORNILLADA";"ACO DRAIN REJA - SELF GALA100";"CANALES DE DRENAJE";
2020/04/12;"00006314";"20.82€";"REJA SELF GALA100 L500 C250 FUNDICION PASARELA C/FIJ CLAVIJA ATORNILLADA";"ACO DRAIN REJA - SELF GALA100";"CANALES DE DRENAJE";
2020/04/12;"00006000";"36.90€";"CANAL SELF GALA100 1000MM H150 C250";"ACO DRAIN - SELF GALA100";"CANALES DE DRENAJE";
2020/04/12;"00006050";"37.62€";"CANAL SELF GALA100 1000MM H175 C250";"ACO DRAIN - SELF GALA100";"CANALES DE DRENAJE";
2020/04/12;"00006100";"40.85€";"CANAL SELF GALA100 1000MM H200 C250";"ACO DRAIN - SELF GALA100";"CANALES DE DRENAJE";
2020/04/12;"00006335";"139.32€";"SUM SELF GALA100 H585 DN/OD 110 C250 C/CEST PLÁSTICO";"ACCESORIO SUMIDERO - SELF GALA100";"CANALES DE DRENAJE";
2020/04/12;"00000068";"1.68€";"CLAVIJA AºGº 124X30 M8X60 P/RJ PAS P/CNL SPORT N100";"ACCESORIO CLAVIJA - SPORT";"CANALES DE DRENAJE";
2020/04/12;"00150091";"2.10€";"CLAVIJA AºGº 170X30 M8X80 P/RJ PAS P/CNL SPORT N150";"ACCESORIO CLAVIJA - SPORT";"CANALES DE DRENAJE";
2020/04/12;"00150090";"2.76€";"CLAVIJA AºGº 124X30 M6X60 P/RJ PAS P/CNL SPORT N100";"ACCESORIO CLAVIJA - SPORT";"CANALES DE DRENAJE";
2020/04/12;"00150095";"4.24€";"CLAVIJA AºGº 213X30 M8X120 P/RJ PAS P/CNL SPORT N200";"ACCESORIO CLAVIJA - SPORT";"CANALES DE DRENAJE";
2020/04/12;"00002614";"4.37€";"TUBERIA SPORT LW125 DN/OD 110";"ACCESORIOS - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00150094";"5.49€";"CLAVIJA AºGº 213X30 M8X120 P/RJ ENT P/CNL SPORT N200";"ACCESORIO CLAVIJA - SPORT 00002969";"CANALES DE DRENAJE";
2020/04/12;"00002615";"9.07€";"TUBERIA SPORT LW125 DN/OD 160";"ACCESORIOS - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00150010";"15.78€";"REJA SPORT/SELF N150/SELF200 L1000 A15 AºGº PASARELA C/FIJ CLAVIJA Ó SPRINGLOCK®";"ACO DRAIN REJA - SPORT/SELF N150/SELF200";"CANALES DE DRENAJE";
2020/04/12;"00003580";"16.17€";"REJA SPORT/SELF N150/SELF200 L1000 A15 AºGº PASARELA C/FIJ CLAVIJA ATORNILLADA";"ACO DRAIN REJA - SPORT/SELF N150/SELF200";"CANALES DE DRENAJE";
2020/04/12;"00031500";"17.31€";"REJA SPORT N100 L1000 A15 AºGº PASARELA C/FIJ CLAVIJA ATORNILLADA";"ACO DRAIN REJA - SPORT N100";"CANALES DE DRENAJE";
2020/04/12;"00015704";"18.18€";"REJA SPORT N100 L500 C250 COMPOSITE PASARELA C/FIJ CLAVIJA ATORNILLADA";"ACO DRAIN REJA - SPORT N100";"CANALES DE DRENAJE";
2020/04/12;"00031530";"18.47€";"REJA SPORT LW100K L1000 A15 AºGº PASARELA C/FIJ QUICKLOCK®";"ACO DRAIN REJA - SPORT LW100K";"CANALES DE DRENAJE";
2020/04/12;"00003611";"22.69€";"REJA SPORT/SELF N150/SELF200 L500 B125 FUNDICION PASARELA C/FIJ CLAVIJA ATORNILLADA";"ACO DRAIN REJA - SPORT/SELF N150/SELF200";"CANALES DE DRENAJE";
2020/04/12;"00332210";"28.96€";"REJA SPORT/SELF N150/SELF200 L500 C250 FUNDICION PASARELA C/FIJ CLAVIJA ATORNILLADA";"ACO DRAIN REJA - SPORT/SELF N150/SELF200";"CANALES DE DRENAJE";
2020/04/12;"00002908";"32.21€";"REJA SPORT N200 L1000 A15 AºGº PASARELA C/FIJ CLAVIJA ATORNILLADA";"ACO DRAIN REJA - SPORT N200";"CANALES DE DRENAJE";
2020/04/12;"00015571";"34.65€";"TAPA HP H140 SPORT ARENERO";"ACCESORIOS - SPORT ARENERO";"CANALES DE DRENAJE";
2020/04/12;"00015714";"35.10€";"TAPA AºGº H200 SPORT";"ACCESORIOS - SPORT";"CANALES DE DRENAJE";
2020/04/12;"00001659";"38.38€";"CANAL SPORT N100 1000MM H149 C250";"ACO DRAIN - SPORT N100";"CANALES DE DRENAJE";
2020/04/12;"00001661";"40.05€";"CANAL SPORT N100 1000MM H191 C250";"ACO DRAIN - SPORT N100";"CANALES DE DRENAJE";
2020/04/12;"00150011";"41.42€";"REJA SPORT/SELF N150/SELF200 L1000 B125 AºGº ENTRAMADA 30X30 C/FIJ CLAVIJA Ó SPRINGLOCK®";"ACO DRAIN REJA - SPORT/SELF N150/SELF200";"CANALES DE DRENAJE";
2020/04/12;"00015720";"41.77€";"TAPA SPORT LW125 RANURADO C/1 TOPE;2 TOPES 500MM H160";"ACCESORIOS - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00015549";"44.99€";"TAPA SPORT LW125 RANURADO C/1 TOPE;2 TOPES 500MM H160";"ACCESORIOS - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00001662";"45.72€";"CANAL SPORT N100 1000MM H251 C250";"ACO DRAIN - SPORT N100";"CANALES DE DRENAJE";
2020/04/12;"00150078";"47.07€";"REJA SPORT/SELF N150/SELF200 L1000 B125 AºGº ENTRAMADA 30X30";"ACO DRAIN REJA - SPORT/SELF N150/SELF200";"CANALES DE DRENAJE";
2020/04/12;"00000582";"49.52€";"CANAL SPORT LW125 ABIERTO S/BORD.ELEVADO R36,5 1000MM H200 B125";"ACO DRAIN - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00015523";"50.25€";"TAPA SPORT LW125 RANURADO C/1 TOPE;2 TOPES 500MM H160";"ACCESORIOS - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00000581";"52.32€";"CANAL SPORT LW125 ABIERTO S/BORD.ELEVADO 1000MM H200 B125";"ACO DRAIN - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00000592";"53.61€";"CANAL SPORT LW125 ABIERTO S/BORD.ELEVADO R48 1000MM H200 B125";"ACO DRAIN - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00000591";"53.90€";"CANAL SPORT LW125 ABIERTO S/BORD.ELEVADO R24 1000MM H200 B125";"ACO DRAIN - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00000585";"54.11€";"CANAL SPORT LW125 ABIERTO C/BORD.ELEVADO 1000MM H240 B125";"ACO DRAIN - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00001573";"54.49€";"BORDILLOS ACO SPORT BORDILLOS 500MM H300 NEGRO";"ACO DRAIN - SPORT BORDILLOS";"CANALES DE DRENAJE";
2020/04/12;"00000586";"54.62€";"CANAL SPORT LW125 ABIERTO C/BORD.ELEVADO R36,5 1000MM H240 B125";"ACO DRAIN - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00000595";"57.40€";"CANAL SPORT LW125 ABIERTO C/BORD.ELEVADO R24 1000MM H240 B125";"ACO DRAIN - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00000596";"57.44€";"CANAL SPORT LW125 ABIERTO C/BORD.ELEVADO R48 1000MM H240 B125";"ACO DRAIN - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00303610";"57.93€";"REJA SPORT/SELF N150/SELF200 L1000 B125 AºGº ENTRAMADA 30X15 C/FIJ SPRINGLOCK";"ACO DRAIN REJA - SPORT/SELF N150/SELF200";"CANALES DE DRENAJE";
2020/04/12;"00000711";"59.06€";"CANAL SPORT N150 1000MM H220 C250";"ACO DRAIN - SPORT N150";"CANALES DE DRENAJE";
2020/04/12;"00000360";"61.05€";"REJA SPORT LW125 A15 PLASTICO P/ABIERTO";"ACO DRAIN REJA - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00000361";"61.05€";"REJA SPORT LW125 A15 PLASTICO R36,5 P/ABIERTO";"ACO DRAIN REJA - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00001574";"61.14€";"BORDILLOS ACO SPORT BORDILLOS 500MM H400 NEGRO";"ACO DRAIN - SPORT BORDILLOS";"CANALES DE DRENAJE";
2020/04/12;"00000712";"61.23€";"CANAL SPORT N150 1000MM H270 C250";"ACO DRAIN - SPORT N150";"CANALES DE DRENAJE";
2020/04/12;"00001690";"62.15€";"BORDILLOS ACO SPORT BORDILLOS 1000MM H200 NEGRO";"ACO DRAIN - SPORT BORDILLOS";"CANALES DE DRENAJE";
2020/04/12;"00001571";"63.31€";"BORDILLOS ACO SPORT BORDILLOS 500MM H300 BLANCO";"ACO DRAIN - SPORT BORDILLOS";"CANALES DE DRENAJE";
2020/04/12;"00001035";"66.85€";"BORDILLOS ACO SPORT BORDILLOS 1000MM H250 NEGRO";"ACO DRAIN - SPORT BORDILLOS";"CANALES DE DRENAJE";
2020/04/12;"00000713";"68.17€";"CANAL SPORT N150 1000MM H320 C250";"ACO DRAIN - SPORT N150";"CANALES DE DRENAJE";
2020/04/12;"00304834";"68.37€";"CANAL SPORT N200 1000MM H260 C250";"ACO DRAIN - SPORT N200";"CANALES DE DRENAJE";
2020/04/12;"00001572";"69.47€";"BORDILLOS ACO SPORT BORDILLOS 500MM H400 BLANCO";"ACO DRAIN - SPORT BORDILLOS";"CANALES DE DRENAJE";
2020/04/12;"00304835";"70.46€";"CANAL SPORT N200 1000MM H310 C250";"ACO DRAIN - SPORT N200";"CANALES DE DRENAJE";
2020/04/12;"00001034";"74.05€";"BORDILLOS ACO SPORT BORDILLOS 1000MM H200 NEGRO";"ACO DRAIN - SPORT BORDILLOS";"CANALES DE DRENAJE";
2020/04/12;"00002905";"74.13€";"REJA SPORT N200 L1000 B125 AºGº ENTRAMADA 30X30 C/FIJ CLAVIJA ATORNILLADA";"ACO DRAIN REJA - SPORT N200";"CANALES DE DRENAJE";
2020/04/12;"00000363";"74.99€";"REJA SPORT LW125 A15 PLASTICO P/RANURADO";"ACO DRAIN REJA - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00000362";"75.03€";"REJA SPORT LW125 A15 PLASTICO R36,5 P/RANURADO";"ACO DRAIN REJA - SPORT LW125";"CANALES DE DRENAJE";
2020/04/12;"00001689";"76.84€";"BORDILLOS ACO SPORT BORDILLOS 1000MM H200 BLANCO";"ACO DRAIN - SPORT BORDILLOS";"CANALES DE DRENAJE";
